folder,image_count,status
ppe/no_mask,0,EMPTY
ppe/mask_ok,0,EMPTY
ppe/no_gloves,0,EMPTY
ppe/gloves_ok,0,EMPTY
ppe/no_headcover,0,EMPTY
ppe/headcover_ok,0,EMPTY
ppe/improper_uniform,0,EMPTY
ppe/uniform_ok,0,EMPTY
environment/wet_floor,0,EMPTY
environment/dry_floor,0,EMPTY
environment/trash_on_floor,0,EMPTY
environment/clean_floor,0,EMPTY
environment/unclean_area,0,EMPTY
environment/clean_area,0,EMPTY
environment/blocked_path,0,EMPTY
environment/clear_path,0,EMPTY
environment/unsafe_area,0,EMPTY
environment/safe_area,0,EMPTY
